PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
5018576,75000.0,76378776.75913203,63.386919944991746,A,X,AX
6400722,74810.0,76453586.75913203,63.4490049335487,A,X,AX
2700244,73822.64,76527409.39913203,63.5102705098038,A,X,AX
Q491530,73756.25,76601165.64913203,63.571480988847426,A,Y,AY
6604477,73715.6,76674881.24913202,63.63265773236392,A,Y,AY
10008626,73241.28,76748122.52913202,63.69344083663737,A,Z,AZ
6454043-03,73188.0,76821310.52913202,63.75417972371805,A,Y,AY
6602391,73167.16,76894477.68913202,63.81490131563551,A,Y,AY
3140083,72748.82,76967226.50913201,63.87527572623879,A,X,AX
5015369,72199.68,77039426.18913202,63.93519440431146,A,Y,AY
Proposal# ED-E 11185-1,71841.0,77111267.18913202,63.99481541303916,A,Z,AZ
6440459,71829.95999999999,77183097.14913201,64.05442725964585,A,Y,AY
6705043,71666.4,77254763.54913202,64.11390336743783,A,Y,AY
6705016,71655.84,77326419.38913202,64.17337071146189,A,X,AX
6500416,71141.4,77397560.78913203,64.23241112056395,A,Y,AY
6400663,70840.0,77468400.78913203,64.2912013971229,A,X,AX
6453995,70713.0,77539113.78913203,64.349886276094,A,Y,AY
6603767,70414.83,77609528.61913203,64.40832370310629,A,Y,AY
6400511,70229.73,77679758.34913203,64.46660751520906,A,X,AX
6310092-6A,69866.65,77749624.99913204,64.5245900063969,A,Y,AY
6453723,69733.78,77819358.77913204,64.5824622284706,A,Z,AZ
Q520076,69555.6,77888914.37913203,64.64018657855846,A,X,AX
NPS4867,69452.0,77958366.37913203,64.6978249507715,A,X,AX
6415131,69186.14,78027552.51913203,64.75524268516797,A,Y,AY
6604112,68749.3536,78096301.87273203,64.8122979295411,A,X,AX
6420207,68642.4,78164944.27273203,64.86926441287918,A,X,AX
P19560,68622.0,78233566.27273203,64.92621396621102,A,Z,AZ
3371052,68362.0,78301928.27273203,64.98294774495358,A,X,AX
