PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
007040,15.68,12.405,3.1012,22.49,0.7,11.24,69.86,50,0.25
00KB00411,365.0,425.0,106.25,18.53,19.7,9.26,1968.88,50,0.25
00MA00001 with glass covering 00MA05300,730.0,1692.0,423.0,13.14,55.56,6.57,5557.11,50,0.25
0102615,7300.0,0.1352,0.0338,4647.33,1.57,2323.66,157.04,50,0.25
0103362,73000.0,0.02,0.005,38209.95,1.91,19104.97,191.02,50,0.25
0103374,36500.0,0.033,0.0082,21097.91,1.73,10548.96,173.0,50,0.25
0103376,243.33,0.0242,0.006,2013.83,0.12,1006.92,12.04,50,0.25
01036ET3ER215TC-W22,365.0,1455.05,363.7625,10.02,36.43,5.01,3643.95,50,0.25
0104475,730.0,189.99,47.4975,39.2,18.62,19.6,1861.95,50,0.25
0105408,6467.83,0.9018666666666666,0.2255,1693.58,3.82,846.79,381.95,50,0.25
0105416,3285.0,0.78,0.195,1297.93,2.53,648.96,253.05,50,0.25
010551603140,365.0,95.47,23.8675,39.11,9.33,19.56,933.35,50,0.25
011093,365.0,22.89,5.7225,79.86,4.57,39.93,457.0,50,0.25
0111780,730.0,71.93,17.9825,63.71,11.46,31.86,1145.92,50,0.25
0112139,18250.0,0.3644,0.0911,4475.82,4.08,2237.91,407.87,50,0.25
0112877,16425.0,0.58,0.145,3365.65,4.88,1682.82,488.01,50,0.25
0114628,36500.0,0.13,0.0325,10597.53,3.44,5298.76,344.21,50,0.25
0114640,130.94,3.62,0.905,120.29,1.09,60.14,108.93,50,0.25
0117828,954.25,1.7425,0.4356,468.04,2.04,234.02,203.94,50,0.25
0118539,119.95,1.61,0.4025,172.63,0.69,86.32,69.24,50,0.25
0118750,1285.17,1.0956000000000001,0.2739,684.99,1.88,342.5,187.81,50,0.25
0118755,2175.16,1.71,0.4275,713.31,3.05,356.66,304.97,50,0.25
0119096,1825.0,1.47,0.3675,704.7,2.59,352.35,258.99,50,0.25
0119290,1825.0,3.76,0.94,440.62,4.14,220.31,414.09,50,0.25
0119920,36500.0,0.83,0.2075,4194.09,8.7,2097.04,870.14,50,0.25
0120128,253.91,1.235,0.3088,286.75,0.89,143.38,88.78,50,0.25
0120228,7300.0,0.0487,0.0122,7735.38,0.94,3867.69,94.19,50,0.25
0120233,1106.06,0.0873,0.0218,2252.48,0.49,1126.24,49.05,50,0.25
0120254,1460.0,113.406,28.3515,71.76,20.35,35.88,2034.75,50,0.25
0120280,138.61,3.04,0.76,135.05,1.03,67.53,102.82,50,0.25
0120375,36500.0,0.0175,0.0044,28801.83,1.27,14400.92,126.86,50,0.25
